Griffin
Clint
Magnus
Director
The Director
Merle
Taako
Petrilda
Appraiser
Justin
Angus
Leon
Travis
Garfield
Dwarven woman
Vendor
Announcer
Killian
Barry
Gundren
Barry Bluejeans
The Announcer
Scavenger
Black Spider
Magic Brian
Orc woman
Klaarg
Yeemick
Yemick
Goblin
Gerblin
Orc Woman
Ruffian
Travis and Justin
Clint and Justin
Clint and Travis
Griffin and Justin
Justin and Travis
Goblin(s)
Gundren Rockseeker on the Right
Gundren Rockseeker on the Left
Ruffians
Griffin & Justin
Justin & Griffin
Justin and Clint
Guard
Avi
Guy
Johann
Tostada
Trav
Woman
Davenport
Travis and Griffin
Taako and Merle
Artificer
Cashier
Travis & Griffin
Robbie
Dictor
Tom Bodett
Elven Man
Hudson
Jenkins
Juicy Wizard
Fancy Lad
Graham
Book
Jess the Beheader
Jess
Scuttle Buddy
Merle and Magnus
Magnus & Merle
Voice
Everyone
Some Other D&D Adventurer
The Monocle
Merle & Magnus
"Clint, Justin, & Travis"
Lucas
Human Man
"Merle, Magnus, Taako"
Trent
Clean Guy
Hurley
Garyl
Captain Bane
Red Robe
Bane
Maarvy
Sloane
Guys
Gaia Sash
Taako/Magnus/Merle
Griffin & Travis
NPC
The Raven
"Magnus, played by Griffin"
Gaia Sash/Sloane
Travis?
"Clint, Justin"
"Griffin, Justin"
Gruff man
Taako & Magnus
Griffin McElroy
Travis/Justin
"Travis, Griffin"
"Justin, Travis"
All
Clint/Griffin
Justin/Clint
Clint/Justin
Justin/Travis
"Clint, Justin, Travis"
Clint & Griffin
Medics
Shopkeeper
Ruffian 1
Ruffian 2
Ruffian 3
Jerreeeeee
Little Jerry
Regular Jerreeeeee
Ruffian Two
Mind Control Cricket
"Griffin, Justin and Travis"
"Justin, Clint"
"Clint, Travis, Griffin"
"Taako, disguised as Little Jerry"
The Two Guys
First Ruffian
Ruffian One
Clint & Travis
Travis and Clint
Justin & Clint
Griffin as Merle
Karate Girl
"Justin, Griffin, Travis"
Carey
Travis & Clint
Boyland
Noelle
Upsy
"Travis, laughing"
"Travis, impersonating Carey"
"Clint, resigned"
Hodge Podge
Kravitz
Philosopher's Stone
Maureen
Maureen-bot
Robot
Taako/Merle
Legion
Magic Brian & Jenkins
Lantern
Crystal Golem
Taako/Justin
Travis/Griffin
Griffin & Clint
Clint & Justin
Travis/Magnus
Merle and Taako
Dwarf
Justin and Clint exchanging lines
Travis/Clint
Pendant
Fantasy Justin
Mystery Voice
Whisper
Jamie
Aaron
John
Grizzled bugbear
Bugbear
Christy
Golem
Crystal Voice
Cockney accent
Merle/Magnus
Taardigrade
Clint and Griffin
